Plot Title: 9811661-santarosa,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)",Coupler Detached (LGR S/N: 9811661),End Of File (LGR S/N: 9811661)
127,6/25/2011,19:45:00,81668,14.9,,
128,6/25/2011,20:00:00,78611,14.804,,
129,6/25/2011,20:15:00,78673,14.804,,
130,6/25/2011,20:30:00,78785,14.804,,
131,6/25/2011,20:45:00,83607,14.804,,
132,6/25/2011,21:00:00,83235,14.709,,
133,6/25/2011,21:15:00,82838,14.613,,
134,6/25/2011,21:30:00,82540,14.517,,
135,6/25/2011,21:45:00,82354,14.421,,
136,6/25/2011,22:00:00,82206,14.325,,
137,6/25/2011,22:15:00,82082,14.23,,
138,6/25/2011,22:30:00,82045,14.23,,
139,6/25/2011,22:45:00,82046,14.038,,
140,6/25/2011,23:00:00,82047,13.942,,
141,6/25/2011,23:15:00,82048,13.846,,
142,6/25/2011,23:30:00,82048,13.75,,
143,6/25/2011,23:45:00,82036,13.75,,
144,6/26/2011,0:00:00,82024,13.654,,
145,6/26/2011,0:15:00,82012,13.558,,
146,6/26/2011,0:30:00,82026,13.461,,
147,6/26/2011,0:45:00,82014,13.365,,
148,6/26/2011,1:00:00,82002,13.269,,
149,6/26/2011,1:15:00,82015,13.173,,
150,6/26/2011,1:30:00,82003,13.076,,
151,6/26/2011,1:45:00,81979,12.98,,
152,6/26/2011,2:00:00,81955,12.883,,
153,6/26/2011,2:15:00,81980,12.883,,
154,6/26/2011,2:30:00,81968,12.787,,
155,6/26/2011,2:45:00,81944,12.69,,
156,6/26/2011,3:00:00,85932,12.594,,
157,6/26/2011,3:15:00,87211,12.497,,
158,6/26/2011,3:30:00,86392,12.401,,
159,6/26/2011,3:45:00,85797,12.304,,
160,6/26/2011,4:00:00,85425,12.207,,
161,6/26/2011,4:15:00,85189,12.207,,
162,6/26/2011,4:30:00,85028,12.11,,
163,6/26/2011,4:45:00,84930,12.013,,
164,6/26/2011,5:00:00,84893,11.916,,
165,6/26/2011,5:15:00,84857,11.819,,
166,6/26/2011,5:30:00,84845,11.722,,
167,6/26/2011,5:45:00,84870,11.625,,
168,6/26/2011,6:00:00,84859,11.528,,
169,6/26/2011,6:15:00,84846,11.528,,
170,6/26/2011,6:30:00,84859,11.431,,
171,6/26/2011,6:45:00,84897,11.334,,
172,6/26/2011,7:00:00,84910,11.236,,
173,6/26/2011,7:15:00,84935,11.236,,
174,6/26/2011,7:30:00,84972,11.236,,
175,6/26/2011,7:45:00,85010,11.236,,
176,6/26/2011,8:00:00,85096,11.236,,
177,6/26/2011,8:15:00,85159,11.236,,
178,6/26/2011,8:30:00,85232,11.334,,
179,6/26/2011,8:45:00,85332,11.334,,
180,6/26/2011,9:00:00,85430,11.431,,
181,6/26/2011,9:15:00,85541,11.528,,
182,6/26/2011,9:30:00,85641,11.528,,
183,6/26/2011,9:45:00,85777,11.625,,
184,6/26/2011,10:00:00,85900,11.722,,
185,6/26/2011,10:15:00,86024,11.819,,
186,6/26/2011,10:30:00,86172,11.916,,
187,6/26/2011,10:45:00,86320,12.013,,
188,6/26/2011,11:00:00,86432,12.013,,
189,6/26/2011,11:15:00,86568,12.11,,
190,6/26/2011,11:30:00,86692,12.207,,
191,6/26/2011,11:45:00,86877,12.304,,
192,6/26/2011,12:00:00,87075,12.401,,
193,6/26/2011,12:15:00,87236,12.497,,
194,6/26/2011,12:30:00,87446,12.69,,
195,6/26/2011,12:45:00,87644,12.787,,
196,6/26/2011,13:00:00,87805,12.883,,
197,6/26/2011,13:15:00,88078,12.98,,
198,6/26/2011,13:30:00,88239,13.076,,
199,6/26/2011,13:45:00,88387,13.173,,
200,6/26/2011,14:00:00,88548,13.269,,
201,6/26/2011,14:15:00,88696,13.365,,
202,6/26/2011,14:30:00,88832,13.461,,
203,6/26/2011,14:45:00,88981,13.558,,
204,6/26/2011,15:00:00,89142,13.654,,
205,6/26/2011,15:15:00,89278,13.75,,
206,6/26/2011,15:30:00,89215,13.846,,
207,6/26/2011,15:45:00,89426,13.846,,
208,6/26/2011,16:00:00,89525,13.942,,
209,6/26/2011,16:15:00,89476,13.942,,
210,6/26/2011,16:30:00,89624,14.038,,
211,6/26/2011,16:45:00,89723,14.134,,
212,6/26/2011,17:00:00,89922,14.134,,
213,6/26/2011,17:15:00,90020,14.23,,
214,6/26/2011,17:30:00,90182,14.23,,
215,6/26/2011,17:45:00,90318,14.23,,
216,6/26/2011,18:00:00,90405,14.325,,
217,6/26/2011,18:15:00,90566,14.325,,
218,6/26/2011,18:30:00,90678,14.325,,
219,6/26/2011,18:45:00,90777,14.325,,
220,6/26/2011,19:00:00,90963,14.421,,
221,6/26/2011,19:15:00,91100,14.421,,
222,6/26/2011,19:30:00,91150,14.421,,
223,6/26/2011,19:45:00,91224,14.421,,
224,6/26/2011,20:00:00,91261,14.421,,
225,6/26/2011,20:15:00,91323,14.421,,
226,6/26/2011,20:30:00,91411,14.325,,
227,6/26/2011,20:45:00,91473,14.325,,
228,6/26/2011,21:00:00,91535,14.325,,
229,6/26/2011,21:15:00,91598,14.23,,
230,6/26/2011,21:30:00,91622,14.23,,
231,6/26/2011,21:45:00,91673,14.134,,
232,6/26/2011,22:00:00,91686,14.038,,
233,6/26/2011,22:15:00,91761,13.942,,
234,6/26/2011,22:30:00,91898,13.846,,
235,6/26/2011,22:45:00,91960,13.846,,
236,6/26/2011,23:00:00,93214,13.75,,
237,6/26/2011,23:15:00,93873,13.654,,
238,6/26/2011,23:30:00,94320,13.558,,
239,6/26/2011,23:45:00,94929,13.461,,
240,6/27/2011,0:00:00,94979,13.365,,
241,6/27/2011,0:15:00,95066,13.269,,
242,6/27/2011,0:30:00,95265,13.173,,
243,6/27/2011,0:45:00,95402,13.076,,
244,6/27/2011,1:00:00,95912,12.98,,
245,6/27/2011,1:15:00,97302,12.883,,
246,6/27/2011,1:30:00,98122,12.787,,
247,6/27/2011,1:45:00,99190,12.69,,
248,6/27/2011,2:00:00,100406,12.594,,
249,6/27/2011,2:15:00,101597,12.497,,
250,6/27/2011,2:30:00,103421,12.401,,
251,6/27/2011,2:45:00,106151,12.304,,
252,6/27/2011,3:00:00,114905,12.207,,
253,6/27/2011,3:15:00,118103,12.11,,
254,6/27/2011,3:30:00,122441,12.013,,
255,6/27/2011,3:45:00,124324,11.916,,
256,6/27/2011,4:00:00,140434,11.819,,
257,6/27/2011,4:15:00,146497,11.722,,
258,6/27/2011,4:30:00,146014,11.625,,
259,6/27/2011,4:45:00,143440,11.528,,
260,6/27/2011,5:00:00,143180,11.431,,
261,6/27/2011,5:15:00,199126,11.334,,
262,6/27/2011,5:30:00,198409,11.236,,
263,6/27/2011,5:45:00,198693,11.236,,
264,6/27/2011,6:00:00,198802,11.139,,
265,6/27/2011,6:15:00,200836,11.041,,
266,6/27/2011,6:30:00,201142,10.944,,
267,6/27/2011,6:45:00,201856,10.846,,
268,6/27/2011,7:00:00,202372,10.748,,
269,6/27/2011,7:15:00,202644,10.748,,
270,6/27/2011,7:30:00,205417,10.748,,
271,6/27/2011,7:45:00,205440,10.651,,
272,6/27/2011,8:00:00,205503,10.748,,
273,6/27/2011,8:15:00,205528,10.748,,
274,6/27/2011,8:30:00,197947,10.846,,
275,6/27/2011,8:45:00,200315,10.846,,
276,6/27/2011,9:00:00,201993,10.944,,
277,6/27/2011,9:15:00,203240,11.041,,
