"Plot Title: UpJaramillo1"
"#","Date Time, GMT+00:00","Abs Pres, Pa (LGR S/N: 1059642, SEN S/N: 1059642)","Temp, °C (LGR S/N: 1059642, SEN S/N: 1059642)","Coupler Detached (LGR S/N: 1059642)","Coupler Attached (LGR S/N: 1059642)","Stopped (LGR S/N: 1059642)","End Of File (LGR S/N: 1059642)"
1,10/13/11 11:00:00 PM,73536,14.134,Logged,,,
2,10/13/11 11:30:00 PM,73536,10.846,,,,
3,10/14/11 12:00:00 AM,73567,9.768,,,,
4,10/14/11 12:30:00 AM,73555,9.373,,,,
5,10/14/11 01:00:00 AM,73556,9.176,,,,
6,10/14/11 01:30:00 AM,73584,9.176,,,,
7,10/14/11 02:00:00 AM,73611,9.077,,,,
8,10/14/11 02:30:00 AM,73653,9.077,,,,
9,10/14/11 03:00:00 AM,73639,8.978,,,,
10,10/14/11 03:30:00 AM,73694,8.978,,,,
11,10/14/11 04:00:00 AM,73680,8.978,,,,
12,10/14/11 04:30:00 AM,73694,8.978,,,,
13,10/14/11 05:00:00 AM,73667,8.978,,,,
14,10/14/11 05:30:00 AM,73653,8.978,,,,
15,10/14/11 06:00:00 AM,73653,8.978,,,,
16,10/14/11 06:30:00 AM,73640,8.879,,,,
17,10/14/11 07:00:00 AM,73612,8.879,,,,
18,10/14/11 07:30:00 AM,73626,8.879,,,,
19,10/14/11 08:00:00 AM,73626,8.879,,,,
20,10/14/11 08:30:00 AM,73640,8.879,,,,
21,10/14/11 09:00:00 AM,73612,8.879,,,,
22,10/14/11 09:30:00 AM,73599,8.779,,,,
23,10/14/11 10:00:00 AM,73585,8.779,,,,
24,10/14/11 10:30:00 AM,73613,8.779,,,,
25,10/14/11 11:00:00 AM,73599,8.779,,,,
26,10/14/11 11:30:00 AM,73613,8.779,,,,
27,10/14/11 12:00:00 PM,73613,8.779,,,,
28,10/14/11 12:30:00 PM,73640,8.779,,,,
29,10/14/11 01:00:00 PM,73640,8.779,,,,
30,10/14/11 01:30:00 PM,73667,8.779,,,,
31,10/14/11 02:00:00 PM,73681,8.779,,,,
32,10/14/11 02:30:00 PM,73695,8.779,,,,
33,10/14/11 03:00:00 PM,73709,8.680,,,,
34,10/14/11 03:30:00 PM,73736,8.680,,,,
35,10/14/11 04:00:00 PM,73736,8.680,,,,
36,10/14/11 04:30:00 PM,73750,8.680,,,,
37,10/14/11 05:00:00 PM,73778,8.680,,,,
38,10/14/11 05:30:00 PM,73750,8.779,,,,
39,10/14/11 06:00:00 PM,73736,8.779,,,,
40,10/14/11 06:30:00 PM,73722,8.779,,,,
41,10/14/11 07:00:00 PM,73695,8.779,,,,
42,10/14/11 07:30:00 PM,73667,8.779,,,,
43,10/14/11 08:00:00 PM,73626,8.779,,,,
44,10/14/11 08:30:00 PM,73626,8.879,,,,
45,10/14/11 09:00:00 PM,73626,8.879,,,,
46,10/14/11 09:30:00 PM,73626,8.879,,,,
47,10/14/11 10:00:00 PM,73626,8.879,,,,
48,10/14/11 10:30:00 PM,73640,8.879,,,,
49,10/14/11 11:00:00 PM,73653,8.879,,,,
50,10/14/11 11:30:00 PM,73667,8.879,,,,
51,10/15/11 12:00:00 AM,73681,8.879,,,,
52,10/15/11 12:30:00 AM,73695,8.879,,,,
53,10/15/11 01:00:00 AM,73722,8.879,,,,
54,10/15/11 01:30:00 AM,73736,8.879,,,,
55,10/15/11 02:00:00 AM,73749,8.879,,,,
56,10/15/11 02:30:00 AM,73791,8.879,,,,
57,10/15/11 03:00:00 AM,73804,8.879,,,,
58,10/15/11 03:30:00 AM,73818,8.879,,,,
59,10/15/11 04:00:00 AM,73832,8.879,,,,
60,10/15/11 04:30:00 AM,73832,8.879,,,,
61,10/15/11 05:00:00 AM,73832,8.879,,,,
62,10/15/11 05:30:00 AM,73832,8.879,,,,
63,10/15/11 06:00:00 AM,73832,8.879,,,,
64,10/15/11 06:30:00 AM,73818,8.779,,,,
65,10/15/11 07:00:00 AM,73832,8.779,,,,
66,10/15/11 07:30:00 AM,73832,8.779,,,,
67,10/15/11 08:00:00 AM,73846,8.779,,,,
68,10/15/11 08:30:00 AM,73846,8.779,,,,
69,10/15/11 09:00:00 AM,73859,8.779,,,,
70,10/15/11 09:30:00 AM,73846,8.779,,,,
71,10/15/11 10:00:00 AM,73846,8.779,,,,
72,10/15/11 10:30:00 AM,73846,8.779,,,,
73,10/15/11 11:00:00 AM,73859,8.779,,,,
74,10/15/11 11:30:00 AM,73859,8.779,,,,
75,10/15/11 12:00:00 PM,73873,8.779,,,,
76,10/15/11 12:30:00 PM,73874,8.680,,,,
77,10/15/11 01:00:00 PM,73887,8.680,,,,
78,10/15/11 01:30:00 PM,73901,8.680,,,,
79,10/15/11 02:00:00 PM,73915,8.680,,,,
80,10/15/11 02:30:00 PM,73942,8.680,,,,
81,10/15/11 03:00:00 PM,73956,8.680,,,,
82,10/15/11 03:30:00 PM,73983,8.680,,,,
83,10/15/11 04:00:00 PM,73997,8.680,,,,
84,10/15/11 04:30:00 PM,73983,8.680,,,,
85,10/15/11 05:00:00 PM,73970,8.680,,,,
86,10/15/11 05:30:00 PM,73983,8.680,,,,
87,10/15/11 06:00:00 PM,73956,8.680,,,,
88,10/15/11 06:30:00 PM,73955,8.779,,,,
89,10/15/11 07:00:00 PM,73942,8.779,,,,
90,10/15/11 07:30:00 PM,73914,8.779,,,,
91,10/15/11 08:00:00 PM,73873,8.779,,,,
92,10/15/11 08:30:00 PM,73846,8.779,,,,
93,10/15/11 09:00:00 PM,73832,8.879,,,,
94,10/15/11 09:30:00 PM,73832,8.879,,,,
95,10/15/11 10:00:00 PM,73832,8.879,,,,
96,10/15/11 10:30:00 PM,73832,8.879,,,,
97,10/15/11 11:00:00 PM,73818,8.879,,,,
98,10/15/11 11:30:00 PM,73804,8.879,,,,
99,10/16/11 12:00:00 AM,73804,8.879,,,,
100,10/16/11 12:30:00 AM,73832,8.879,,,,
101,10/16/11 01:00:00 AM,73845,8.879,,,,
102,10/16/11 01:30:00 AM,73873,8.879,,,,
103,10/16/11 02:00:00 AM,73928,8.879,,,,
104,10/16/11 02:30:00 AM,73928,8.879,,,,
105,10/16/11 03:00:00 AM,73928,8.879,,,,
106,10/16/11 03:30:00 AM,73955,8.879,,,,
107,10/16/11 04:00:00 AM,73941,8.879,,,,
108,10/16/11 04:30:00 AM,73969,8.879,,,,
109,10/16/11 05:00:00 AM,73955,8.879,,,,
110,10/16/11 05:30:00 AM,73955,8.879,,,,
111,10/16/11 06:00:00 AM,73914,8.879,,,,
112,10/16/11 06:30:00 AM,73914,8.879,,,,
113,10/16/11 07:00:00 AM,73928,8.879,,,,
114,10/16/11 07:30:00 AM,73914,8.779,,,,
115,10/16/11 08:00:00 AM,73901,8.779,,,,
116,10/16/11 08:30:00 AM,73914,8.779,,,,
117,10/16/11 09:00:00 AM,73901,8.779,,,,
118,10/16/11 09:30:00 AM,73901,8.779,,,,
119,10/16/11 10:00:00 AM,73901,8.779,,,,
120,10/16/11 10:30:00 AM,73887,8.779,,,,
121,10/16/11 11:00:00 AM,73914,8.779,,,,
122,10/16/11 11:30:00 AM,73901,8.779,,,,
123,10/16/11 12:00:00 PM,73914,8.779,,,,
124,10/16/11 12:30:00 PM,73914,8.779,,,,
125,10/16/11 01:00:00 PM,73942,8.680,,,,
126,10/16/11 01:30:00 PM,73928,8.680,,,,
127,10/16/11 02:00:00 PM,73942,8.680,,,,
128,10/16/11 02:30:00 PM,73942,8.680,,,,
129,10/16/11 03:00:00 PM,73956,8.680,,,,
130,10/16/11 03:30:00 PM,73942,8.680,,,,
131,10/16/11 04:00:00 PM,73928,8.680,,,,
132,10/16/11 04:30:00 PM,73942,8.680,,,,
133,10/16/11 05:00:00 PM,73942,8.680,,,,
134,10/16/11 05:30:00 PM,73942,8.779,,,,
135,10/16/11 06:00:00 PM,73914,8.779,,,,
136,10/16/11 06:30:00 PM,73914,8.779,,,,
137,10/16/11 07:00:00 PM,73873,8.779,,,,
138,10/16/11 07:30:00 PM,73846,8.779,,,,
139,10/16/11 08:00:00 PM,73791,8.879,,,,
140,10/16/11 08:30:00 PM,73777,8.879,,,,
141,10/16/11 09:00:00 PM,73763,8.879,,,,
142,10/16/11 09:30:00 PM,73749,8.879,,,,
143,10/16/11 10:00:00 PM,73749,8.879,,,,
144,10/16/11 10:30:00 PM,73749,8.879,,,,
145,10/16/11 11:00:00 PM,73736,8.879,,,,
146,10/16/11 11:30:00 PM,73708,8.978,,,,
147,10/17/11 12:00:00 AM,73694,8.978,,,,
148,10/17/11 12:30:00 AM,73708,8.978,,,,
149,10/17/11 01:00:00 AM,73722,8.978,,,,
150,10/17/11 01:30:00 AM,73749,8.978,,,,
151,10/17/11 02:00:00 AM,73749,8.978,,,,
152,10/17/11 02:30:00 AM,73763,8.978,,,,
153,10/17/11 03:00:00 AM,73749,8.978,,,,
154,10/17/11 03:30:00 AM,73776,8.978,,,,
155,10/17/11 04:00:00 AM,73763,8.879,,,,
156,10/17/11 04:30:00 AM,73736,8.879,,,,
157,10/17/11 05:00:00 AM,73736,8.879,,,,
158,10/17/11 05:30:00 AM,73722,8.879,,,,
159,10/17/11 06:00:00 AM,73695,8.879,,,,
160,10/17/11 06:30:00 AM,73667,8.879,,,,
161,10/17/11 07:00:00 AM,73640,8.879,,,,
162,10/17/11 07:30:00 AM,73626,8.879,,,,
163,10/17/11 08:00:00 AM,73626,8.879,,,,
164,10/17/11 08:30:00 AM,73612,8.879,,,,
165,10/17/11 09:00:00 AM,73571,8.879,,,,
166,10/17/11 09:30:00 AM,73544,8.879,,,,
167,10/17/11 10:00:00 AM,73517,8.779,,,,
168,10/17/11 10:30:00 AM,73517,8.779,,,,
169,10/17/11 11:00:00 AM,73489,8.779,,,,
170,10/17/11 11:30:00 AM,73489,8.779,,,,
171,10/17/11 12:00:00 PM,73475,8.779,,,,
