"","yr","Value.mn","Value.sd","Value.n","siteID"
"1",2011,10.9504140415895,1.05468137622484,1619,"SanLuis"
"2",2012,12.1137548497658,3.02767493565588,8753,"SanLuis"
"3",2013,11.9762032594623,2.93275946481744,8754,"SanLuis"
"4",2014,11.7124573950929,2.99820221813277,8722,"SanLuis"
"5",2015,10.1100310994306,3.64703993972906,4566,"SanLuis"
"6",2016,8.44786441647597,1.04757159902238,874,"SanLuis"
"7",2017,10.8106969958848,3.74479623248679,8505,"SanLuis"
"8",2018,12.0988872756457,3.46076923503438,6853,"SanLuis"
