Plot Title: LaJara1,,,,,,,,
#,"Date Time, GMT+00:00","Date Time, GMT+00:00","Abs Pres, Pa (LGR S/N: 9991867, SEN S/N: 9991867)","Temp, °C (LGR S/N: 9991867, SEN S/N: 9991867)",Coupler Detached (LGR S/N: 9991867),Coupler Attached (LGR S/N: 9991867),Stopped (LGR S/N: 9991867),End Of File (LGR S/N: 9991867)
1,10/13/2011,21:30:00,73682,17.76,Logged,,,
2,10/13/2011,22:00:00,73662,11.528,,,,
3,10/13/2011,22:30:00,73652,8.68,,,,
4,10/13/2011,23:00:00,73679,7.582,,,,
5,10/13/2011,23:30:00,73661,7.179,,,,
6,10/14/2011,0:00:00,73685,6.978,,,,
7,10/14/2011,0:30:00,73697,6.877,,,,
8,10/14/2011,1:00:00,73710,6.877,,,,
9,10/14/2011,1:30:00,73750,6.877,,,,
10,10/14/2011,2:00:00,73736,6.877,,,,
11,10/14/2011,2:30:00,73763,6.877,,,,
12,10/14/2011,3:00:00,73789,6.877,,,,
13,10/14/2011,3:30:00,73815,6.877,,,,
14,10/14/2011,4:00:00,73841,6.775,,,,
15,10/14/2011,4:30:00,73827,6.775,,,,
16,10/14/2011,5:00:00,73814,6.775,,,,
17,10/14/2011,5:30:00,73801,6.775,,,,
18,10/14/2011,6:00:00,73788,6.775,,,,
19,10/14/2011,6:30:00,73748,6.775,,,,
20,10/14/2011,7:00:00,73735,6.775,,,,
21,10/14/2011,7:30:00,73775,6.775,,,,
22,10/14/2011,8:00:00,73787,6.674,,,,
23,10/14/2011,8:30:00,73760,6.674,,,,
24,10/14/2011,9:00:00,73760,6.674,,,,
25,10/14/2011,9:30:00,73734,6.674,,,,
26,10/14/2011,10:00:00,73747,6.674,,,,
27,10/14/2011,10:30:00,73760,6.674,,,,
28,10/14/2011,11:00:00,73734,6.674,,,,
29,10/14/2011,11:30:00,73760,6.674,,,,
30,10/14/2011,12:00:00,73760,6.674,,,,
31,10/14/2011,12:30:00,73800,6.674,,,,
32,10/14/2011,13:00:00,73799,6.573,,,,
33,10/14/2011,13:30:00,73825,6.573,,,,
34,10/14/2011,14:00:00,73838,6.573,,,,
35,10/14/2011,14:30:00,73851,6.573,,,,
36,10/14/2011,15:00:00,73865,6.573,,,,
37,10/14/2011,15:30:00,73878,6.573,,,,
38,10/14/2011,16:00:00,73904,6.573,,,,
39,10/14/2011,16:30:00,73917,6.573,,,,
40,10/14/2011,17:00:00,73917,6.573,,,,
41,10/14/2011,17:30:00,73932,6.674,,,,
42,10/14/2011,18:00:00,73932,6.674,,,,
43,10/14/2011,18:30:00,73905,6.674,,,,
44,10/14/2011,19:00:00,73866,6.674,,,,
45,10/14/2011,19:30:00,73827,6.775,,,,
46,10/14/2011,20:00:00,73801,6.775,,,,
47,10/14/2011,20:30:00,73801,6.775,,,,
48,10/14/2011,21:00:00,73788,6.775,,,,
49,10/14/2011,21:30:00,73801,6.775,,,,
50,10/14/2011,22:00:00,73788,6.775,,,,
51,10/14/2011,22:30:00,73802,6.877,,,,
52,10/14/2011,23:00:00,73802,6.877,,,,
53,10/14/2011,23:30:00,73829,6.877,,,,
54,10/15/2011,0:00:00,73868,6.877,,,,
55,10/15/2011,0:30:00,73881,6.877,,,,
56,10/15/2011,1:00:00,73881,6.877,,,,
57,10/15/2011,1:30:00,73894,6.877,,,,
58,10/15/2011,2:00:00,73921,6.877,,,,
59,10/15/2011,2:30:00,73947,6.877,,,,
60,10/15/2011,3:00:00,73960,6.877,,,,
61,10/15/2011,3:30:00,73973,6.877,,,,
62,10/15/2011,4:00:00,74000,6.877,,,,
63,10/15/2011,4:30:00,74000,6.877,,,,
64,10/15/2011,5:00:00,74000,6.877,,,,
65,10/15/2011,5:30:00,74013,6.877,,,,
66,10/15/2011,6:00:00,73987,6.877,,,,
67,10/15/2011,6:30:00,74000,6.877,,,,
68,10/15/2011,7:00:00,74000,6.877,,,,
69,10/15/2011,7:30:00,73987,6.877,,,,
70,10/15/2011,8:00:00,74026,6.877,,,,
71,10/15/2011,8:30:00,73999,6.775,,,,
72,10/15/2011,9:00:00,74025,6.775,,,,
73,10/15/2011,9:30:00,74012,6.775,,,,
74,10/15/2011,10:00:00,74012,6.775,,,,
75,10/15/2011,10:30:00,74012,6.775,,,,
76,10/15/2011,11:00:00,73999,6.775,,,,
77,10/15/2011,11:30:00,74025,6.775,,,,
78,10/15/2011,12:00:00,74038,6.775,,,,
79,10/15/2011,12:30:00,74025,6.775,,,,
80,10/15/2011,13:00:00,74038,6.775,,,,
