Plot Title: LaJara2,,,,,,,,
#,"Date Time, GMT+00:00","Date Time, GMT+00:00","Abs Pres, Pa (LGR S/N: 9991863, SEN S/N: 9991863)","Temp, °C (LGR S/N: 9991863, SEN S/N: 9991863)",Coupler Detached (LGR S/N: 9991863),Coupler Attached (LGR S/N: 9991863),Stopped (LGR S/N: 9991863),End Of File (LGR S/N: 9991863)
1,10/13/2011,21:30:00,73739,18.331,Logged,,,
2,10/13/2011,22:00:00,73684,11.431,,,,
3,10/13/2011,22:30:00,73660,8.978,,,,
4,10/13/2011,23:00:00,73687,8.082,,,,
5,10/13/2011,23:30:00,73683,7.682,,,,
6,10/14/2011,0:00:00,73705,7.481,,,,
7,10/14/2011,0:30:00,73728,7.381,,,,
8,10/14/2011,1:00:00,73728,7.381,,,,
9,10/14/2011,1:30:00,73752,7.381,,,,
10,10/14/2011,2:00:00,73775,7.381,,,,
11,10/14/2011,2:30:00,73775,7.381,,,,
12,10/14/2011,3:00:00,73799,7.381,,,,
13,10/14/2011,3:30:00,73823,7.381,,,,
14,10/14/2011,4:00:00,73823,7.381,,,,
15,10/14/2011,4:30:00,73847,7.381,,,,
16,10/14/2011,5:00:00,73823,7.381,,,,
17,10/14/2011,5:30:00,73823,7.381,,,,
18,10/14/2011,6:00:00,73787,7.381,,,,
19,10/14/2011,6:30:00,73775,7.381,,,,
20,10/14/2011,7:00:00,73752,7.381,,,,
21,10/14/2011,7:30:00,73787,7.381,,,,
22,10/14/2011,8:00:00,73799,7.381,,,,
23,10/14/2011,8:30:00,73799,7.381,,,,
24,10/14/2011,9:00:00,73774,7.28,,,,
25,10/14/2011,9:30:00,73774,7.28,,,,
26,10/14/2011,10:00:00,73763,7.28,,,,
27,10/14/2011,10:30:00,73763,7.28,,,,
28,10/14/2011,11:00:00,73739,7.28,,,,
29,10/14/2011,11:30:00,73751,7.28,,,,
30,10/14/2011,12:00:00,73786,7.28,,,,
31,10/14/2011,12:30:00,73786,7.28,,,,
32,10/14/2011,13:00:00,73810,7.28,,,,
33,10/14/2011,13:30:00,73834,7.28,,,,
34,10/14/2011,14:00:00,73846,7.28,,,,
35,10/14/2011,14:30:00,73869,7.28,,,,
36,10/14/2011,15:00:00,73881,7.28,,,,
37,10/14/2011,15:30:00,73880,7.179,,,,
38,10/14/2011,16:00:00,73916,7.179,,,,
39,10/14/2011,16:30:00,73928,7.179,,,,
40,10/14/2011,17:00:00,73928,7.179,,,,
41,10/14/2011,17:30:00,73916,7.179,,,,
42,10/14/2011,18:00:00,73940,7.179,,,,
43,10/14/2011,18:30:00,73904,7.179,,,,
44,10/14/2011,19:00:00,73881,7.28,,,,
45,10/14/2011,19:30:00,73822,7.28,,,,
46,10/14/2011,20:00:00,73810,7.28,,,,
47,10/14/2011,20:30:00,73798,7.28,,,,
48,10/14/2011,21:00:00,73786,7.28,,,,
49,10/14/2011,21:30:00,73798,7.28,,,,
50,10/14/2011,22:00:00,73799,7.381,,,,
51,10/14/2011,22:30:00,73811,7.381,,,,
52,10/14/2011,23:00:00,73811,7.381,,,,
53,10/14/2011,23:30:00,73847,7.381,,,,
54,10/15/2011,0:00:00,73847,7.381,,,,
55,10/15/2011,0:30:00,73870,7.381,,,,
56,10/15/2011,1:00:00,73906,7.381,,,,
57,10/15/2011,1:30:00,73882,7.381,,,,
58,10/15/2011,2:00:00,73906,7.381,,,,
59,10/15/2011,2:30:00,73942,7.381,,,,
60,10/15/2011,3:00:00,73954,7.381,,,,
61,10/15/2011,3:30:00,73965,7.381,,,,
62,10/15/2011,4:00:00,74002,7.481,,,,
63,10/15/2011,4:30:00,74002,7.481,,,,
64,10/15/2011,5:00:00,74002,7.481,,,,
65,10/15/2011,5:30:00,73990,7.481,,,,
66,10/15/2011,6:00:00,74014,7.481,,,,
67,10/15/2011,6:30:00,73990,7.481,,,,
68,10/15/2011,7:00:00,74002,7.481,,,,
69,10/15/2011,7:30:00,74002,7.481,,,,
70,10/15/2011,8:00:00,74002,7.481,,,,
71,10/15/2011,8:30:00,74026,7.481,,,,
72,10/15/2011,9:00:00,73990,7.481,,,,
73,10/15/2011,9:30:00,74014,7.481,,,,
74,10/15/2011,10:00:00,74002,7.481,,,,
75,10/15/2011,10:30:00,74002,7.481,,,,
76,10/15/2011,11:00:00,74014,7.481,,,,
77,10/15/2011,11:30:00,74038,7.481,,,,
78,10/15/2011,12:00:00,74037,7.381,,,,
79,10/15/2011,12:30:00,74037,7.381,,,,
80,10/15/2011,13:00:00,74072,7.381,,,,
81,10/15/2011,13:30:00,74072,7.381,,,,
82,10/15/2011,14:00:00,74108,7.381,,,,
83,10/15/2011,14:30:00,74108,7.381,,,,
84,10/15/2011,15:00:00,74167,7.381,,,,
85,10/15/2011,15:30:00,74167,7.381,,,,
86,10/15/2011,16:00:00,74167,7.381,,,,
87,10/15/2011,16:30:00,74179,7.381,,,,
88,10/15/2011,17:00:00,74179,7.381,,,,
89,10/15/2011,17:30:00,74155,7.381,,,,
90,10/15/2011,18:00:00,74144,7.381,,,,
91,10/15/2011,18:30:00,74144,7.381,,,,
92,10/15/2011,19:00:00,74120,7.381,,,,
93,10/15/2011,19:30:00,74072,7.381,,,,
94,10/15/2011,20:00:00,74049,7.381,,,,
95,10/15/2011,20:30:00,74014,7.481,,,,
96,10/15/2011,21:00:00,74002,7.481,,,,
97,10/15/2011,21:30:00,74014,7.481,,,,
98,10/15/2011,22:00:00,74014,7.481,,,,
99,10/15/2011,22:30:00,74014,7.481,,,,
100,10/15/2011,23:00:00,73978,7.481,,,,
101,10/15/2011,23:30:00,73990,7.481,,,,
102,10/16/2011,0:00:00,73991,7.582,,,,
103,10/16/2011,0:30:00,74003,7.582,,,,
104,10/16/2011,1:00:00,74003,7.582,,,,
105,10/16/2011,1:30:00,74039,7.582,,,,
106,10/16/2011,2:00:00,74074,7.582,,,,
107,10/16/2011,2:30:00,74086,7.582,,,,
108,10/16/2011,3:00:00,74086,7.582,,,,
109,10/16/2011,3:30:00,74110,7.582,,,,
110,10/16/2011,4:00:00,74134,7.582,,,,
111,10/16/2011,4:30:00,74134,7.582,,,,
112,10/16/2011,5:00:00,74122,7.582,,,,
113,10/16/2011,5:30:00,74122,7.582,,,,
114,10/16/2011,6:00:00,74086,7.582,,,,
115,10/16/2011,6:30:00,74086,7.582,,,,
116,10/16/2011,7:00:00,74086,7.582,,,,
117,10/16/2011,7:30:00,74086,7.582,,,,
118,10/16/2011,8:00:00,74086,7.582,,,,
119,10/16/2011,8:30:00,74086,7.582,,,,
