Plot Title: LaJara1,,,,,,,,
#,"Date Time, GMT+00:00","Date Time, GMT+00:00","Abs Pres, Pa (LGR S/N: 9991867, SEN S/N: 9991867)","Temp, °C (LGR S/N: 9991867, SEN S/N: 9991867)",Coupler Detached (LGR S/N: 9991867),Coupler Attached (LGR S/N: 9991867),Stopped (LGR S/N: 9991867),End Of File (LGR S/N: 9991867)
1,4/24/2012,14:00:00,81069,20.615,Logged,,,
2,4/24/2012,14:30:00,81053,19.662,,,,
3,4/24/2012,15:00:00,81021,19.377,,,,
4,4/24/2012,15:30:00,80970,19.472,,,,
5,4/24/2012,16:00:00,80987,19.662,,,,
6,4/24/2012,16:30:00,80952,19.948,,,,
7,4/24/2012,17:00:00,80944,20.234,,,,
8,4/24/2012,17:30:00,80909,20.519,,,,
9,4/24/2012,18:00:00,80929,20.901,,,,
10,4/24/2012,18:30:00,80869,21.282,,,,
11,4/24/2012,19:00:00,80849,21.664,,,,
12,4/24/2012,19:30:00,80805,22.142,,,,
13,4/24/2012,20:00:00,80785,22.525,,,,
14,4/24/2012,20:30:00,80777,22.812,,,,
15,4/24/2012,21:00:00,80718,23.196,,,,
16,4/24/2012,21:30:00,80672,23.581,,,,
17,4/24/2012,22:00:00,80651,23.869,,,,
18,4/24/2012,22:30:00,80633,24.351,,,,
19,4/24/2012,23:00:00,80616,24.835,,,,
20,4/24/2012,23:30:00,80594,25.125,,,,
21,4/25/2012,0:00:00,80570,25.222,,,,
22,4/25/2012,0:30:00,80545,25.319,,,,
23,4/25/2012,1:00:00,80558,25.319,,,,
24,4/25/2012,1:30:00,80560,25.416,,,,
25,4/25/2012,2:00:00,80611,25.319,,,,
26,4/25/2012,2:30:00,80617,24.931,,,,
27,4/25/2012,3:00:00,80648,24.448,,,,
28,4/25/2012,3:30:00,80689,23.773,,,,
29,4/25/2012,4:00:00,80701,23.004,,,,
30,4/25/2012,4:30:00,80742,22.333,,,,
31,4/25/2012,5:00:00,80732,21.76,,,,
32,4/25/2012,5:30:00,80783,21.664,,,,
33,4/25/2012,6:00:00,80806,21.473,,,,
34,4/25/2012,6:30:00,80829,21.282,,,,
35,4/25/2012,7:00:00,80813,21.091,,,,
36,4/25/2012,7:30:00,80821,20.805,,,,
37,4/25/2012,8:00:00,80790,20.519,,,,
38,4/25/2012,8:30:00,80800,20.329,,,,
39,4/25/2012,9:00:00,80769,20.043,,,,
40,4/25/2012,9:30:00,80779,19.853,,,,
41,4/25/2012,10:00:00,80813,19.567,,,,
42,4/25/2012,10:30:00,80823,19.377,,,,
43,4/25/2012,11:00:00,80832,19.092,,,,
44,4/25/2012,11:30:00,80812,18.711,,,,
45,4/25/2012,12:00:00,80811,18.616,,,,
46,4/25/2012,12:30:00,80796,18.521,,,,
47,4/25/2012,13:00:00,80835,18.521,,,,
48,4/25/2012,13:30:00,80916,18.616,,,,
49,4/25/2012,14:00:00,80905,18.711,,,,
50,4/25/2012,14:30:00,80871,19.092,,,,
51,4/25/2012,15:00:00,80893,19.567,,,,
52,4/25/2012,15:30:00,80887,20.043,,,,
53,4/25/2012,16:00:00,80896,20.519,,,,
54,4/25/2012,16:30:00,80877,20.996,,,,
55,4/25/2012,17:00:00,80914,21.569,,,,
56,4/25/2012,17:30:00,80884,22.142,,,,
57,4/25/2012,18:00:00,80879,22.621,,,,
58,4/25/2012,18:30:00,80875,23.1,,,,
59,4/25/2012,19:00:00,80814,23.388,,,,
60,4/25/2012,19:30:00,80832,23.677,,,,
61,4/25/2012,20:00:00,80838,23.966,,,,
62,4/25/2012,20:30:00,80818,24.351,,,,
63,4/25/2012,21:00:00,80810,24.641,,,,
64,4/25/2012,21:30:00,80776,24.931,,,,
65,4/25/2012,22:00:00,80793,25.125,,,,
66,4/25/2012,22:30:00,80823,25.319,,,,
67,4/25/2012,23:00:00,80827,25.513,,,,
68,4/25/2012,23:30:00,80840,25.513,,,,
69,4/26/2012,0:00:00,80815,25.61,,,,
70,4/26/2012,0:30:00,80828,25.61,,,,
71,4/26/2012,1:00:00,80840,25.513,,,,
72,4/26/2012,1:30:00,80864,25.416,,,,
73,4/26/2012,2:00:00,80904,25.416,,,,
74,4/26/2012,2:30:00,80917,25.416,,,,
75,4/26/2012,3:00:00,80942,25.319,,,,
76,4/26/2012,3:30:00,80989,25.028,,,,
77,4/26/2012,4:00:00,80982,24.641,,,,
78,4/26/2012,4:30:00,80962,24.255,,,,
79,4/26/2012,5:00:00,80928,23.869,,,,
80,4/26/2012,5:30:00,80936,23.581,,,,
81,4/26/2012,6:00:00,80905,23.292,,,,
82,4/26/2012,6:30:00,80913,23.004,,,,
83,4/26/2012,7:00:00,80868,22.717,,,,
84,4/26/2012,7:30:00,80876,22.429,,,,
85,4/26/2012,8:00:00,80858,22.142,,,,
