,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter
mm/dd/yyyy HH:MM:SS,%,,,,mg/l,,,,mV,,,,pH,,,,mS/cm,,,,NTU,,,,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code
05/02/2013 18:45:50,81.6,,,1,7.99,,,1,,,,1,7.89,,,1,0.765,,,1,6.9,,,1,16.27,,,1
05/02/2013 19:00:50,81,,,1,7.98,,,1,,,,1,7.88,,,1,0.766,,,1,7.2,,,1,15.95,,,1
05/02/2013 19:15:50,80.7,,,1,7.99,,,1,,,,1,7.87,,,1,0.766,,,1,7,,,1,15.78,,,1
05/02/2013 19:30:50,80.6,,,1,8,,,1,,,,1,7.86,,,1,0.766,,,1,7.6,,,1,15.67,,,1
05/02/2013 19:45:50,80.5,,,1,8,,,1,,,,1,7.86,,,1,0.767,,,1,7.3,,,1,15.55,,,1
05/02/2013 20:00:50,80.3,,,1,8.01,,,1,,,,1,7.86,,,1,0.767,,,1,7.6,,,1,15.39,,,1
05/02/2013 20:15:50,80.1,,,1,8.03,,,1,,,,1,7.86,,,1,0.766,,,1,7.8,,,1,15.2,,,1
05/02/2013 20:30:50,80.1,,,1,8.05,,,1,,,,1,7.85,,,1,0.766,,,1,7.8,,,1,15.02,,,1
05/02/2013 20:45:50,80,,,1,8.09,,,1,,,,1,7.85,,,1,0.766,,,1,8.9,,,1,14.8,,,1
05/02/2013 21:00:50,80,,,1,8.13,,,1,,,,1,7.85,,,1,0.767,,,1,9.7,,,1,14.59,,,1
05/02/2013 21:15:50,80.2,,,1,8.17,,,1,,,,1,7.85,,,1,0.768,,,1,8.9,,,1,14.4,,,1
05/02/2013 21:30:50,80.3,,,1,8.22,,,1,,,,1,7.85,,,1,0.767,,,1,8.6,,,1,14.2,,,1
05/02/2013 21:45:50,80.3,,,1,8.26,,,1,,,,1,7.85,,,1,0.765,,,1,8.7,,,1,13.95,,,1
05/02/2013 22:00:51,80.4,,,1,8.32,,,1,,,,1,7.85,,,1,0.767,,,1,8.7,,,1,13.7,,,1
05/02/2013 22:15:51,80.5,,,1,8.37,,,1,,,,1,7.85,,,1,0.765,,,1,13,,,1,13.48,,,1
05/02/2013 22:30:51,80.6,,,1,8.43,,,1,,,,1,7.85,,,1,0.765,,,1,8.5,,,1,13.25,,,1
05/02/2013 22:45:51,80.7,,,1,8.47,,,1,,,,1,7.85,,,1,0.764,,,1,9.1,,,1,13.09,,,1
05/02/2013 23:00:51,80.8,,,1,8.5,,,1,,,,1,7.85,,,1,0.764,,,1,9.2,,,1,12.93,,,1
05/02/2013 23:15:51,80.8,,,1,8.54,,,1,,,,1,7.85,,,1,0.766,,,1,9,,,1,12.77,,,1
05/02/2013 23:30:50,80.8,,,1,8.57,,,1,,,,1,7.84,,,1,0.765,,,1,8.9,,,1,12.6,,,1
05/02/2013 23:45:51,80.9,,,1,8.62,,,1,,,,1,7.84,,,1,0.766,,,1,8.8,,,1,12.42,,,1
05/03/2013 00:00:50,81,,,1,8.66,,,1,,,,1,7.84,,,1,0.765,,,1,9.7,,,1,12.25,,,1
05/03/2013 00:15:51,81,,,1,8.69,,,1,,,,1,7.84,,,1,0.766,,,1,9.6,,,1,12.06,,,1
05/03/2013 00:30:51,81,,,1,8.74,,,1,,,,1,7.84,,,1,0.765,,,1,9,,,1,11.86,,,1
05/03/2013 00:45:51,81.1,,,1,8.78,,,1,,,,1,7.84,,,1,0.766,,,1,8.4,,,1,11.69,,,1
05/03/2013 01:00:51,81.1,,,1,8.82,,,1,,,,1,7.84,,,1,0.766,,,1,7.9,,,1,11.52,,,1
05/03/2013 01:15:51,81.1,,,1,8.85,,,1,,,,1,7.84,,,1,0.765,,,1,8.4,,,1,11.35,,,1
05/03/2013 01:30:51,81.1,,,1,8.89,,,1,,,,1,7.84,,,1,0.766,,,1,8.2,,,1,11.18,,,1
05/03/2013 01:45:51,81.2,,,1,8.93,,,1,,,,1,7.84,,,1,0.767,,,1,8.5,,,1,11.01,,,1
05/03/2013 02:00:51,81.2,,,1,8.97,,,1,,,,1,7.84,,,1,0.766,,,1,8.3,,,1,10.85,,,1
