,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,Dis Oxygen Sat.DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,O2 (Dis).DOsat@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,PH Voltage.pH_1@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,pH.pH@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Sp Cond.SpCond@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Turbidity.Turbidity@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter,Water Temp.WaterTemp@JemezRiverSciEdCenter
mm/dd/yyyy HH:MM:SS,%,,,,mg/l,,,,mV,,,,pH,,,,mS/cm,,,,NTU,,,,°C,,,
Date-Time,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code,Value,Grade,Approval,Interpolation Code
06/21/2013 04:45:51,76.5,,,1,7.46,,,1,,,,1,7.93,,,1,0.636,,,1,11.7,,,1,16.47,,,1
06/21/2013 05:00:51,76.6,,,1,7.49,,,1,,,,1,7.92,,,1,0.633,,,1,11.7,,,1,16.32,,,1
06/21/2013 05:15:51,76.6,,,1,7.52,,,1,,,,1,7.92,,,1,0.627,,,1,11.9,,,1,16.14,,,1
06/21/2013 05:30:51,76.7,,,1,7.56,,,1,,,,1,7.92,,,1,0.622,,,1,12,,,1,15.95,,,1
06/21/2013 05:45:51,76.7,,,1,7.59,,,1,,,,1,7.92,,,1,0.611,,,1,12,,,1,15.79,,,1
06/21/2013 06:00:51,76.8,,,1,7.63,,,1,,,,1,7.92,,,1,0.598,,,1,11.9,,,1,15.64,,,1
06/21/2013 06:15:51,77,,,1,7.67,,,1,,,,1,7.92,,,1,0.588,,,1,11.7,,,1,15.54,,,1
06/21/2013 06:30:51,77.2,,,1,7.7,,,1,,,,1,7.92,,,1,0.577,,,1,11.1,,,1,15.42,,,1
06/21/2013 06:45:51,77.4,,,1,7.73,,,1,,,,1,7.93,,,1,0.566,,,1,10.2,,,1,15.34,,,1
06/21/2013 07:00:51,77.6,,,1,7.77,,,1,,,,1,7.92,,,1,0.557,,,1,10,,,1,15.24,,,1
06/21/2013 07:15:51,77.8,,,1,7.81,,,1,,,,1,7.93,,,1,0.63,,,1,9.4,,,1,15.14,,,1
06/21/2013 07:30:51,78,,,1,7.85,,,1,,,,1,7.93,,,1,0.629,,,1,8.9,,,1,15.05,,,1
06/21/2013 07:45:51,78.3,,,1,7.88,,,1,,,,1,7.93,,,1,0.629,,,1,8.9,,,1,15.01,,,1
06/21/2013 08:00:51,78.9,,,1,7.94,,,1,,,,1,7.93,,,1,0.627,,,1,9.2,,,1,15.03,,,1
06/21/2013 08:15:51,79.6,,,1,8,,,1,,,,1,7.94,,,1,0.624,,,1,9,,,1,15.08,,,1
06/21/2013 08:30:51,80.3,,,1,8.05,,,1,,,,1,7.94,,,1,0.622,,,1,8.9,,,1,15.2,,,1
06/21/2013 08:45:51,81,,,1,8.1,,,1,,,,1,7.94,,,1,0.614,,,1,9.6,,,1,15.35,,,1
06/21/2013 09:00:51,81.8,,,1,8.14,,,1,,,,1,7.95,,,1,0.62,,,1,9.6,,,1,15.54,,,1
06/21/2013 09:15:51,82.5,,,1,8.17,,,1,,,,1,7.95,,,1,0.619,,,1,9,,,1,15.78,,,1
06/21/2013 09:30:51,83.2,,,1,8.19,,,1,,,,1,7.95,,,1,0.618,,,1,9.4,,,1,16.03,,,1
06/21/2013 09:45:51,83.9,,,1,8.2,,,1,,,,1,7.96,,,1,0.616,,,1,9.5,,,1,16.35,,,1
06/21/2013 10:00:51,84.5,,,1,8.21,,,1,,,,1,7.96,,,1,0.617,,,1,10.9,,,1,16.7,,,1
06/21/2013 10:15:51,85.2,,,1,8.21,,,1,,,,1,7.97,,,1,0.614,,,1,10.4,,,1,17.03,,,1
06/21/2013 10:30:51,85.8,,,1,8.21,,,1,,,,1,7.98,,,1,0.612,,,1,10.9,,,1,17.41,,,1
06/21/2013 10:45:51,86.5,,,1,8.21,,,1,,,,1,7.99,,,1,0.605,,,1,11,,,1,17.83,,,1
06/21/2013 11:00:51,87.2,,,1,8.2,,,1,,,,1,8,,,1,0.593,,,1,11.7,,,1,18.27,,,1
06/21/2013 11:15:50,87.9,,,1,8.19,,,1,,,,1,8.01,,,1,0.579,,,1,11.7,,,1,18.71,,,1
06/21/2013 11:30:50,88.5,,,1,8.16,,,1,,,,1,8.03,,,1,0.567,,,1,11.9,,,1,19.22,,,1
06/21/2013 11:45:50,89.1,,,1,8.13,,,1,,,,1,8.04,,,1,0.556,,,1,12.5,,,1,19.73,,,1
06/21/2013 12:00:50,89.6,,,1,8.1,,,1,,,,1,8.05,,,1,0.548,,,1,12.5,,,1,20.25,,,1
06/21/2013 12:15:50,90,,,1,8.06,,,1,,,,1,8.06,,,1,0.539,,,1,12.8,,,1,20.73,,,1
06/21/2013 12:30:50,90.4,,,1,8.01,,,1,,,,1,8.07,,,1,0.529,,,1,12.3,,,1,21.21,,,1
06/21/2013 12:45:50,90.6,,,1,7.96,,,1,,,,1,8.08,,,1,0.519,,,1,12.3,,,1,21.65,,,1
06/21/2013 13:00:50,90.8,,,1,7.92,,,1,,,,1,8.09,,,1,0.535,,,1,12.2,,,1,22.08,,,1
06/21/2013 13:15:50,90.9,,,1,7.86,,,1,,,,1,8.09,,,1,0.597,,,1,12.3,,,1,22.5,,,1
06/21/2013 13:30:50,90.9,,,1,7.8,,,1,,,,1,8.1,,,1,0.581,,,1,13,,,1,22.92,,,1
06/21/2013 13:45:50,90.8,,,1,7.74,,,1,,,,1,8.11,,,1,0.567,,,1,13.4,,,1,23.31,,,1
06/21/2013 14:00:50,90.8,,,1,7.67,,,1,,,,1,8.11,,,1,0.556,,,1,13.6,,,1,23.71,,,1
06/21/2013 14:15:50,90.4,,,1,7.6,,,1,,,,1,8.12,,,1,0.538,,,1,12.9,,,1,23.98,,,1
06/21/2013 14:30:50,89.4,,,1,7.51,,,1,,,,1,8.11,,,1,0.548,,,1,12.4,,,1,24.06,,,1
06/21/2013 14:45:50,89.9,,,1,7.5,,,1,,,,1,8.12,,,1,0.556,,,1,12.7,,,1,24.4,,,1
06/21/2013 15:00:50,89.6,,,1,7.43,,,1,,,,1,8.12,,,1,0.718,,,1,12.4,,,1,24.7,,,1
06/21/2013 15:15:50,89.2,,,1,7.37,,,1,,,,1,8.12,,,1,0.696,,,1,12.7,,,1,24.89,,,1
06/21/2013 15:30:50,87.9,,,1,7.25,,,1,,,,1,8.12,,,1,0.677,,,1,13,,,1,24.99,,,1
06/21/2013 15:45:50,87.2,,,1,7.2,,,1,,,,1,8.11,,,1,0.658,,,1,12.6,,,1,24.98,,,1
06/21/2013 16:00:50,87.1,,,1,7.17,,,1,,,,1,8.11,,,1,0.784,,,1,12.7,,,1,25.07,,,1
06/21/2013 16:15:50,86.2,,,1,7.11,,,1,,,,1,8.11,,,1,0.767,,,1,12.1,,,1,25.02,,,1
06/21/2013 16:30:50,84.7,,,1,7,,,1,,,,1,8.09,,,1,0.751,,,1,12.8,,,1,24.89,,,1
06/21/2013 16:45:50,84,,,1,6.95,,,1,,,,1,8.08,,,1,0.727,,,1,12.1,,,1,24.83,,,1
06/21/2013 17:00:50,82.6,,,1,6.86,,,1,,,,1,8.07,,,1,0.718,,,1,12.2,,,1,24.66,,,1
06/21/2013 17:15:50,81.8,,,1,6.81,,,1,,,,1,8.06,,,1,0.7,,,1,12.8,,,1,24.5,,,1
06/21/2013 17:30:50,81.7,,,1,6.82,,,1,,,,1,8.06,,,1,0.679,,,1,12.7,,,1,24.36,,,1
06/21/2013 17:45:50,81,,,1,6.77,,,1,,,,1,8.05,,,1,0.663,,,1,12.2,,,1,24.32,,,1
06/21/2013 18:00:50,79.9,,,1,6.69,,,1,,,,1,8.04,,,1,0.653,,,1,14,,,1,24.18,,,1
06/21/2013 18:15:50,79,,,1,6.63,,,1,,,,1,8.02,,,1,0.646,,,1,13,,,1,24.04,,,1
06/21/2013 18:30:50,78,,,1,6.57,,,1,,,,1,8.01,,,1,0.634,,,1,13.3,,,1,23.9,,,1
06/21/2013 18:45:50,77.8,,,1,6.57,,,1,,,,1,8.01,,,1,0.619,,,1,14.2,,,1,23.75,,,1
06/21/2013 19:00:50,77,,,1,6.53,,,1,,,,1,7.99,,,1,0.616,,,1,12.7,,,1,23.53,,,1
06/21/2013 19:15:50,76.5,,,1,6.51,,,1,,,,1,7.98,,,1,0.613,,,1,13.9,,,1,23.34,,,1
06/21/2013 19:30:50,76.2,,,1,6.5,,,1,,,,1,7.97,,,1,0.602,,,1,12.8,,,1,23.16,,,1
06/21/2013 19:45:50,75.8,,,1,6.48,,,1,,,,1,7.97,,,1,0.595,,,1,13.7,,,1,23.09,,,1
06/21/2013 20:00:50,75.3,,,1,6.44,,,1,,,,1,7.96,,,1,0.599,,,1,15,,,1,23.05,,,1
06/21/2013 20:15:50,74.7,,,1,6.41,,,1,,,,1,7.96,,,1,0.593,,,1,14.2,,,1,22.92,,,1
06/21/2013 20:30:50,74.3,,,1,6.39,,,1,,,,1,7.95,,,1,0.667,,,1,13.9,,,1,22.79,,,1
06/21/2013 20:45:50,74.1,,,1,6.39,,,1,,,,1,7.95,,,1,0.664,,,1,13.9,,,1,22.63,,,1
06/21/2013 21:00:50,74,,,1,6.4,,,1,,,,1,7.94,,,1,0.661,,,1,14.4,,,1,22.49,,,1
06/21/2013 21:15:50,74,,,1,6.42,,,1,,,,1,7.94,,,1,0.658,,,1,14.4,,,1,22.34,,,1
06/21/2013 21:30:50,74,,,1,6.43,,,1,,,,1,7.94,,,1,0.659,,,1,14.2,,,1,22.19,,,1
06/21/2013 21:45:50,74,,,1,6.46,,,1,,,,1,7.94,,,1,0.658,,,1,14.8,,,1,22.02,,,1
06/21/2013 22:00:51,74.2,,,1,6.49,,,1,,,,1,7.94,,,1,0.654,,,1,14.7,,,1,21.84,,,1
06/21/2013 22:15:50,74.2,,,1,6.52,,,1,,,,1,7.94,,,1,0.648,,,1,13.3,,,1,21.65,,,1
06/21/2013 22:30:50,74.3,,,1,6.55,,,1,,,,1,7.94,,,1,0.642,,,1,14,,,1,21.47,,,1
06/21/2013 22:45:50,74.4,,,1,6.58,,,1,,,,1,7.95,,,1,0.635,,,1,13.2,,,1,21.28,,,1
06/21/2013 23:00:50,74.5,,,1,6.62,,,1,,,,1,7.95,,,1,0.626,,,1,13.3,,,1,21.09,,,1
06/21/2013 23:15:51,74.6,,,1,6.65,,,1,,,,1,7.95,,,1,0.618,,,1,13.4,,,1,20.9,,,1
06/21/2013 23:30:51,74.7,,,1,6.68,,,1,,,,1,7.95,,,1,0.611,,,1,13.4,,,1,20.7,,,1
06/21/2013 23:45:50,74.8,,,1,6.72,,,1,,,,1,7.95,,,1,0.601,,,1,12.7,,,1,20.5,,,1
06/22/2013 00:00:51,74.9,,,1,6.76,,,1,,,,1,7.95,,,1,0.605,,,1,12.6,,,1,20.3,,,1
06/22/2013 00:15:50,74.9,,,1,6.78,,,1,,,,1,7.95,,,1,0.598,,,1,13.6,,,1,20.12,,,1
06/22/2013 00:30:50,75.1,,,1,6.82,,,1,,,,1,7.95,,,1,0.588,,,1,13.9,,,1,19.93,,,1
06/22/2013 00:45:50,75.2,,,1,6.86,,,1,,,,1,7.95,,,1,0.58,,,1,13.6,,,1,19.71,,,1
06/22/2013 01:00:50,75.2,,,1,6.9,,,1,,,,1,7.95,,,1,0.566,,,1,15.8,,,1,19.48,,,1
06/22/2013 01:15:51,75.3,,,1,6.94,,,1,,,,1,7.94,,,1,0.605,,,1,13.4,,,1,19.27,,,1
06/22/2013 01:30:50,75.4,,,1,6.97,,,1,,,,1,7.94,,,1,0.716,,,1,13,,,1,19.09,,,1
06/22/2013 01:45:50,75.4,,,1,7,,,1,,,,1,7.94,,,1,0.729,,,1,13.1,,,1,18.91,,,1
06/22/2013 02:00:51,75.5,,,1,7.03,,,1,,,,1,7.94,,,1,0.87,,,1,12.9,,,1,18.73,,,1
06/22/2013 02:15:51,75.6,,,1,7.06,,,1,,,,1,7.94,,,1,0.854,,,1,13,,,1,18.57,,,1
06/22/2013 02:30:50,75.6,,,1,7.08,,,1,,,,1,7.94,,,1,0.827,,,1,12.3,,,1,18.41,,,1
06/22/2013 02:45:51,75.7,,,1,7.11,,,1,,,,1,7.94,,,1,0.804,,,1,12.6,,,1,18.25,,,1
06/22/2013 03:00:51,75.8,,,1,7.14,,,1,,,,1,7.94,,,1,0.788,,,1,12,,,1,18.12,,,1
06/22/2013 03:15:51,75.8,,,1,7.16,,,1,,,,1,7.94,,,1,0.835,,,1,11.8,,,1,18,,,1
06/22/2013 03:30:51,75.9,,,1,7.19,,,1,,,,1,7.94,,,1,0.819,,,1,11.9,,,1,17.86,,,1
06/22/2013 03:45:51,75.9,,,1,7.21,,,1,,,,1,7.94,,,1,0.799,,,1,11.7,,,1,17.71,,,1
06/22/2013 04:00:51,76,,,1,7.24,,,1,,,,1,7.94,,,1,0.781,,,1,11.8,,,1,17.56,,,1
06/22/2013 04:15:51,76,,,1,7.27,,,1,,,,1,7.94,,,1,0.774,,,1,11.4,,,1,17.42,,,1
06/22/2013 04:30:51,76.1,,,1,7.29,,,1,,,,1,7.94,,,1,0.855,,,1,11.7,,,1,17.31,,,1
06/22/2013 04:45:51,76.1,,,1,7.31,,,1,,,,1,7.94,,,1,0.852,,,1,11.2,,,1,17.18,,,1
06/22/2013 05:00:51,76.2,,,1,7.34,,,1,,,,1,7.94,,,1,0.848,,,1,11.1,,,1,17.06,,,1
06/22/2013 05:15:51,76.3,,,1,7.36,,,1,,,,1,7.94,,,1,0.913,,,1,11.5,,,1,16.92,,,1
06/22/2013 05:30:51,76.3,,,1,7.39,,,1,,,,1,7.93,,,1,0.908,,,1,11.2,,,1,16.79,,,1
06/22/2013 05:45:51,76.4,,,1,7.42,,,1,,,,1,7.93,,,1,0.904,,,1,12,,,1,16.65,,,1
06/22/2013 06:00:51,76.5,,,1,7.45,,,1,,,,1,7.93,,,1,0.897,,,1,11.7,,,1,16.52,,,1
06/22/2013 06:15:51,76.6,,,1,7.48,,,1,,,,1,7.93,,,1,0.881,,,1,11.6,,,1,16.39,,,1
06/22/2013 06:30:51,77,,,1,7.54,,,1,,,,1,7.93,,,1,0.892,,,1,11.3,,,1,16.27,,,1
06/22/2013 06:45:51,77.5,,,1,7.6,,,1,,,,1,7.93,,,1,0.891,,,1,11.2,,,1,16.22,,,1
06/22/2013 07:00:51,78.1,,,1,7.66,,,1,,,,1,7.94,,,1,0.864,,,1,10.6,,,1,16.16,,,1
06/22/2013 07:15:51,78.7,,,1,7.73,,,1,,,,1,7.95,,,1,0.848,,,1,10.2,,,1,16.11,,,1
06/22/2013 07:30:51,79,,,1,7.77,,,1,,,,1,7.95,,,1,0.83,,,1,9.1,,,1,16.06,,,1
06/22/2013 07:45:51,79,,,1,7.78,,,1,,,,1,7.96,,,1,0.821,,,1,9.5,,,1,16.03,,,1
06/22/2013 08:00:51,79.5,,,1,7.82,,,1,,,,1,7.96,,,1,0.831,,,1,9.4,,,1,16.05,,,1
06/22/2013 08:15:51,80,,,1,7.86,,,1,,,,1,7.97,,,1,0.819,,,1,8.7,,,1,16.14,,,1
06/22/2013 08:30:51,80.7,,,1,7.9,,,1,,,,1,7.97,,,1,0.807,,,1,9.1,,,1,16.28,,,1
06/22/2013 08:45:51,81.5,,,1,7.95,,,1,,,,1,7.98,,,1,0.788,,,1,8.8,,,1,16.49,,,1
06/22/2013 09:00:51,82.2,,,1,7.98,,,1,,,,1,7.98,,,1,0.771,,,1,8.7,,,1,16.71,,,1
06/22/2013 09:15:51,82.8,,,1,7.99,,,1,,,,1,7.98,,,1,0.755,,,1,11.2,,,1,16.93,,,1
06/22/2013 09:30:51,83.6,,,1,8.03,,,1,,,,1,7.99,,,1,0.735,,,1,15.2,,,1,17.18,,,1
06/22/2013 09:45:51,84,,,1,8.04,,,1,,,,1,8,,,1,0.771,,,1,12.8,,,1,17.39,,,1
06/22/2013 10:00:51,84.8,,,1,8.06,,,1,,,,1,8.01,,,1,0.783,,,1,10.2,,,1,17.69,,,1
06/22/2013 10:15:51,85.4,,,1,8.08,,,1,,,,1,8.02,,,1,0.775,,,1,14.5,,,1,17.96,,,1
06/22/2013 10:30:51,86.1,,,1,8.09,,,1,,,,1,8.03,,,1,0.764,,,1,24,,,1,18.3,,,1
06/22/2013 10:45:51,87,,,1,8.12,,,1,,,,1,8.04,,,1,0.752,,,1,10.1,,,1,18.6,,,1
06/22/2013 11:00:51,87.5,,,1,8.11,,,1,,,,1,8.05,,,1,0.734,,,1,9.6,,,1,18.95,,,1
06/22/2013 11:15:50,88.2,,,1,8.12,,,1,,,,1,8.06,,,1,0.729,,,1,10.9,,,1,19.31,,,1
06/22/2013 11:30:50,89,,,1,8.1,,,1,,,,1,8.07,,,1,0.814,,,1,10.4,,,1,19.8,,,1
06/22/2013 11:45:50,89.6,,,1,8.08,,,1,,,,1,8.08,,,1,0.79,,,1,9.6,,,1,20.31,,,1
06/22/2013 12:00:50,89.9,,,1,8.03,,,1,,,,1,8.09,,,1,0.763,,,1,11.2,,,1,20.81,,,1
06/22/2013 12:15:50,90.3,,,1,7.99,,,1,,,,1,8.1,,,1,0.738,,,1,11.2,,,1,21.26,,,1
06/22/2013 12:30:50,90.6,,,1,7.95,,,1,,,,1,8.1,,,1,0.711,,,1,10.9,,,1,21.71,,,1
06/22/2013 12:45:50,90.8,,,1,7.9,,,1,,,,1,8.11,,,1,0.688,,,1,11.2,,,1,22.12,,,1
06/22/2013 13:00:50,91,,,1,7.86,,,1,,,,1,8.12,,,1,0.664,,,1,11.8,,,1,22.53,,,1
06/22/2013 13:15:50,91.1,,,1,7.81,,,1,,,,1,8.12,,,1,0.645,,,1,12,,,1,22.93,,,1
06/22/2013 13:30:50,91.2,,,1,7.76,,,1,,,,1,8.12,,,1,0.624,,,1,12.1,,,1,23.34,,,1
06/22/2013 13:45:50,90.8,,,1,7.67,,,1,,,,1,8.13,,,1,0.612,,,1,11.5,,,1,23.73,,,1
06/22/2013 14:00:50,91,,,1,7.64,,,1,,,,1,8.13,,,1,0.588,,,1,11.6,,,1,24.07,,,1
06/22/2013 14:15:50,90.8,,,1,7.58,,,1,,,,1,8.14,,,1,0.574,,,1,11.4,,,1,24.43,,,1
06/22/2013 14:30:50,90.5,,,1,7.51,,,1,,,,1,8.14,,,1,0.563,,,1,12.1,,,1,24.71,,,1
06/22/2013 14:45:50,90,,,1,7.44,,,1,,,,1,8.14,,,1,0.554,,,1,11.9,,,1,24.92,,,1
06/22/2013 15:00:50,89.6,,,1,7.37,,,1,,,,1,8.14,,,1,0.544,,,1,11.9,,,1,25.16,,,1
06/22/2013 15:15:50,88.7,,,1,7.29,,,1,,,,1,8.14,,,1,0.533,,,1,11.8,,,1,25.26,,,1
06/22/2013 15:30:50,87.3,,,1,7.18,,,1,,,,1,8.13,,,1,0.536,,,1,11,,,1,25.22,,,1
06/22/2013 15:45:50,87.2,,,1,7.16,,,1,,,,1,8.13,,,1,0.529,,,1,11.2,,,1,25.25,,,1
06/22/2013 16:00:50,86,,,1,7.06,,,1,,,,1,8.12,,,1,0.633,,,1,11.2,,,1,25.2,,,1
06/22/2013 16:15:50,85.9,,,1,7.05,,,1,,,,1,8.11,,,1,0.619,,,1,12.1,,,1,25.26,,,1
06/22/2013 16:30:50,84.7,,,1,6.97,,,1,,,,1,8.1,,,1,0.614,,,1,13.5,,,1,25.08,,,1
06/22/2013 16:45:50,83.6,,,1,6.91,,,1,,,,1,8.09,,,1,0.602,,,1,12.5,,,1,24.93,,,1
06/22/2013 17:00:50,82.7,,,1,6.85,,,1,,,,1,8.08,,,1,0.593,,,1,11.9,,,1,24.76,,,1
06/22/2013 17:15:50,82.4,,,1,6.83,,,1,,,,1,8.08,,,1,0.591,,,1,12.3,,,1,24.74,,,1
06/22/2013 17:30:50,82.3,,,1,6.84,,,1,,,,1,8.07,,,1,0.593,,,1,12.1,,,1,24.63,,,1
06/22/2013 17:45:50,80.9,,,1,6.75,,,1,,,,1,8.06,,,1,0.579,,,1,13.1,,,1,24.45,,,1
06/22/2013 18:00:50,79.5,,,1,6.64,,,1,,,,1,8.04,,,1,0.573,,,1,12.6,,,1,24.34,,,1
06/22/2013 18:15:50,78.1,,,1,6.56,,,1,,,,1,8.03,,,1,0.568,,,1,12.3,,,1,24.07,,,1
06/22/2013 18:30:50,77,,,1,6.49,,,1,,,,1,8.02,,,1,0.566,,,1,13.4,,,1,23.89,,,1
06/22/2013 18:45:50,76.2,,,1,6.45,,,1,,,,1,8.01,,,1,0.597,,,1,15.6,,,1,23.65,,,1
06/22/2013 19:00:50,75.6,,,1,6.42,,,1,,,,1,7.99,,,1,0.59,,,1,12.9,,,1,23.48,,,1
06/22/2013 19:15:50,74.9,,,1,6.39,,,1,,,,1,7.98,,,1,0.584,,,1,14.4,,,1,23.23,,,1
06/22/2013 19:30:50,74.5,,,1,6.39,,,1,,,,1,7.97,,,1,0.582,,,1,14.1,,,1,22.97,,,1
06/22/2013 19:45:50,74.3,,,1,6.39,,,1,,,,1,7.97,,,1,0.723,,,1,14,,,1,22.82,,,1
06/22/2013 20:00:50,74.4,,,1,6.4,,,1,,,,1,7.97,,,1,0.766,,,1,13.7,,,1,22.7,,,1
06/22/2013 20:15:50,74.3,,,1,6.41,,,1,,,,1,7.96,,,1,0.754,,,1,13.7,,,1,22.55,,,1
06/22/2013 20:30:50,74.1,,,1,6.42,,,1,,,,1,7.96,,,1,0.757,,,1,14.4,,,1,22.38,,,1
06/22/2013 20:45:50,73.9,,,1,6.43,,,1,,,,1,7.96,,,1,0.753,,,1,14.5,,,1,22.2,,,1
06/22/2013 21:00:50,73.8,,,1,6.44,,,1,,,,1,7.96,,,1,0.749,,,1,16.9,,,1,22.02,,,1
06/22/2013 21:15:50,73.9,,,1,6.47,,,1,,,,1,7.96,,,1,0.736,,,1,15.6,,,1,21.81,,,1
06/22/2013 21:30:50,73.9,,,1,6.5,,,1,,,,1,7.96,,,1,0.723,,,1,16.4,,,1,21.58,,,1
06/22/2013 21:45:50,74.1,,,1,6.54,,,1,,,,1,7.96,,,1,0.714,,,1,15.9,,,1,21.39,,,1
06/22/2013 22:00:50,74.2,,,1,6.57,,,1,,,,1,7.96,,,1,0.706,,,1,15.8,,,1,21.22,,,1
06/22/2013 22:15:50,74.3,,,1,6.61,,,1,,,,1,7.96,,,1,0.695,,,1,15.9,,,1,21.02,,,1
06/22/2013 22:30:50,74.5,,,1,6.65,,,1,,,,1,7.96,,,1,0.681,,,1,15.4,,,1,20.79,,,1
06/22/2013 22:45:51,74.6,,,1,6.69,,,1,,,,1,7.96,,,1,0.668,,,1,16.2,,,1,20.55,,,1
06/22/2013 23:00:51,74.6,,,1,6.74,,,1,,,,1,7.96,,,1,0.653,,,1,15.8,,,1,20.29,,,1
06/22/2013 23:15:51,74.8,,,1,6.78,,,1,,,,1,7.96,,,1,0.645,,,1,15.6,,,1,20.03,,,1
06/22/2013 23:30:51,74.9,,,1,6.83,,,1,,,,1,7.96,,,1,0.624,,,1,16.6,,,1,19.78,,,1
06/22/2013 23:45:51,74.9,,,1,6.87,,,1,,,,1,7.96,,,1,0.61,,,1,15.8,,,1,19.54,,,1
06/23/2013 00:00:51,75,,,1,6.91,,,1,,,,1,7.95,,,1,0.599,,,1,15.9,,,1,19.3,,,1
06/23/2013 00:15:50,75.2,,,1,6.94,,,1,,,,1,7.95,,,1,0.691,,,1,15.6,,,1,19.1,,,1
06/23/2013 00:30:50,75.3,,,1,6.98,,,1,,,,1,7.96,,,1,0.674,,,1,15.5,,,1,18.92,,,1
06/23/2013 00:45:50,75.3,,,1,7,,,1,,,,1,7.96,,,1,0.662,,,1,14.8,,,1,18.79,,,1
06/23/2013 01:00:50,75.4,,,1,7.03,,,1,,,,1,7.95,,,1,0.652,,,1,14.8,,,1,18.62,,,1
06/23/2013 01:15:51,75.4,,,1,7.05,,,1,,,,1,7.95,,,1,0.642,,,1,15.5,,,1,18.52,,,1
06/23/2013 01:30:51,75.5,,,1,7.08,,,1,,,,1,7.95,,,1,0.63,,,1,15.5,,,1,18.37,,,1
06/23/2013 01:45:50,75.6,,,1,7.11,,,1,,,,1,7.95,,,1,0.623,,,1,14.8,,,1,18.25,,,1
06/23/2013 02:00:51,75.6,,,1,7.14,,,1,,,,1,7.95,,,1,0.61,,,1,14.8,,,1,18.09,,,1
06/23/2013 02:15:51,75.7,,,1,7.17,,,1,,,,1,7.95,,,1,0.593,,,1,14.4,,,1,17.9,,,1
06/23/2013 02:30:51,75.7,,,1,7.2,,,1,,,,1,7.95,,,1,0.579,,,1,13.3,,,1,17.71,,,1
06/23/2013 02:45:51,75.8,,,1,7.23,,,1,,,,1,7.95,,,1,0.57,,,1,13.2,,,1,17.54,,,1
06/23/2013 03:00:51,75.9,,,1,7.27,,,1,,,,1,7.95,,,1,0.563,,,1,13.5,,,1,17.37,,,1
06/23/2013 03:15:51,76,,,1,7.29,,,1,,,,1,7.95,,,1,0.558,,,1,13.3,,,1,17.26,,,1
06/23/2013 03:30:51,76,,,1,7.31,,,1,,,,1,7.95,,,1,0.554,,,1,13.7,,,1,17.14,,,1
06/23/2013 03:45:51,76,,,1,7.33,,,1,,,,1,7.94,,,1,0.548,,,1,12.8,,,1,17.03,,,1
06/23/2013 04:00:51,76.1,,,1,7.36,,,1,,,,1,7.94,,,1,0.541,,,1,12.5,,,1,16.9,,,1
06/23/2013 04:15:51,76.2,,,1,7.39,,,1,,,,1,7.94,,,1,0.536,,,1,12.3,,,1,16.75,,,1
06/23/2013 04:30:51,76.2,,,1,7.42,,,1,,,,1,7.94,,,1,0.533,,,1,12.8,,,1,16.6,,,1
06/23/2013 04:45:51,76.3,,,1,7.44,,,1,,,,1,7.94,,,1,0.539,,,1,12.6,,,1,16.48,,,1
06/23/2013 05:00:51,76.3,,,1,7.47,,,1,,,,1,7.94,,,1,0.54,,,1,12.2,,,1,16.34,,,1
06/23/2013 05:15:51,76.3,,,1,7.48,,,1,,,,1,7.93,,,1,0.552,,,1,12.2,,,1,16.27,,,1
06/23/2013 05:30:51,76.4,,,1,7.51,,,1,,,,1,7.93,,,1,0.54,,,1,12.6,,,1,16.13,,,1
06/23/2013 05:45:51,76.4,,,1,7.54,,,1,,,,1,7.93,,,1,0.592,,,1,13.1,,,1,15.98,,,1
06/23/2013 06:00:51,76.6,,,1,7.57,,,1,,,,1,7.93,,,1,0.583,,,1,13.7,,,1,15.87,,,1
06/23/2013 06:15:51,76.7,,,1,7.6,,,1,,,,1,7.93,,,1,0.575,,,1,14.1,,,1,15.77,,,1
