Plot Title:  Sulfur Creek 11-08,,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),Coupler Attached (LGR S/N: 1280510),Host Connected (LGR S/N: 1280510),Stopped (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,11/24/2008,11:39:26,77073,8.779,,,,,
2,11/24/2008,11:39:35,,,Logged,,,,
3,11/24/2008,12:09:26,75888,3.155,,,,,
4,11/24/2008,12:39:26,75873,2.41,,,,,
5,11/24/2008,13:09:26,75843,2.41,,,,,
6,11/24/2008,13:39:26,75822,2.517,,,,,
7,11/24/2008,14:09:26,75832,2.517,,,,,
8,11/24/2008,14:39:26,75801,2.517,,,,,
9,11/24/2008,15:09:26,75832,2.517,,,,,
10,11/24/2008,15:39:26,75842,2.517,,,,,
11,11/24/2008,16:09:26,75842,2.517,,,,,
12,11/24/2008,16:39:26,75852,2.517,,,,,
13,11/24/2008,17:09:26,75842,2.517,,,,,
14,11/24/2008,17:39:26,75862,2.517,,,,,
15,11/24/2008,18:09:26,75852,2.517,,,,,
16,11/24/2008,18:39:26,75852,2.517,,,,,
17,11/24/2008,19:09:26,75882,2.517,,,,,
18,11/24/2008,19:39:26,75903,2.517,,,,,
19,11/24/2008,20:09:26,75954,2.41,,,,,
20,11/24/2008,20:39:26,76045,2.41,,,,,
21,11/24/2008,21:09:26,75984,2.41,,,,,
22,11/24/2008,21:39:26,75974,2.41,,,,,
23,11/24/2008,22:09:26,75964,2.41,,,,,
24,11/24/2008,22:39:26,75945,2.303,,,,,
25,11/24/2008,23:09:26,75935,2.303,,,,,
26,11/24/2008,23:39:26,75914,2.303,,,,,
27,11/25/2008,0:09:26,75914,2.303,,,,,
28,11/25/2008,0:39:26,75874,2.303,,,,,
29,11/25/2008,1:09:26,75884,2.303,,,,,
30,11/25/2008,1:39:26,75844,2.303,,,,,
31,11/25/2008,2:09:26,75834,2.195,,,,,
32,11/25/2008,2:39:26,75804,2.195,,,,,
33,11/25/2008,3:09:26,75763,2.195,,,,,
34,11/25/2008,3:39:26,75763,2.195,,,,,
35,11/25/2008,4:09:26,75774,2.195,,,,,
36,11/25/2008,4:39:26,75753,2.195,,,,,
37,11/25/2008,5:09:26,75724,2.088,,,,,
38,11/25/2008,5:39:26,75744,2.088,,,,,
39,11/25/2008,6:09:26,75744,2.088,,,,,
40,11/25/2008,6:39:26,75774,2.088,,,,,
41,11/25/2008,7:09:26,75744,2.088,,,,,
42,11/25/2008,7:39:26,75754,2.088,,,,,
43,11/25/2008,8:09:26,75754,2.088,,,,,
44,11/25/2008,8:39:26,75754,2.088,,,,,
45,11/25/2008,9:09:26,75754,2.088,,,,,
46,11/25/2008,9:39:26,75744,2.088,,,,,
47,11/25/2008,10:09:26,75714,2.088,,,,,
48,11/25/2008,10:39:26,75682,2.195,,,,,
49,11/25/2008,11:09:26,75632,2.195,,,,,
50,11/25/2008,11:39:26,75580,2.303,,,,,
51,11/25/2008,12:09:26,75540,2.303,,,,,
52,11/25/2008,12:39:26,75510,2.303,,,,,
53,11/25/2008,13:09:26,75499,2.41,,,,,
54,11/25/2008,13:39:26,75499,2.41,,,,,
55,11/25/2008,14:09:26,75468,2.41,,,,,
56,11/25/2008,14:39:26,75468,2.41,,,,,
57,11/25/2008,15:09:26,75478,2.41,,,,,
58,11/25/2008,15:39:26,75457,2.517,,,,,
59,11/25/2008,16:09:26,75457,2.517,,,,,
60,11/25/2008,16:39:26,75478,2.517,,,,,
61,11/25/2008,17:09:26,75468,2.517,,,,,
62,11/25/2008,17:39:26,75478,2.41,,,,,
63,11/25/2008,18:09:26,75478,2.41,,,,,
64,11/25/2008,18:39:26,75499,2.41,,,,,
65,11/25/2008,19:09:26,75489,2.41,,,,,
66,11/25/2008,19:39:26,75489,2.41,,,,,
67,11/25/2008,20:09:26,75468,2.41,,,,,
68,11/25/2008,20:39:26,75489,2.41,,,,,
69,11/25/2008,21:09:26,75499,2.41,,,,,
70,11/25/2008,21:39:26,75519,2.41,,,,,
71,11/25/2008,22:09:26,75539,2.41,,,,,
72,11/25/2008,22:39:26,75529,2.41,,,,,
73,11/25/2008,23:09:26,75540,2.303,,,,,
74,11/25/2008,23:39:26,75510,2.303,,,,,
75,11/26/2008,0:09:26,75489,2.303,,,,,
76,11/26/2008,0:39:26,75489,2.303,,,,,
77,11/26/2008,1:09:26,75459,2.303,,,,,
78,11/26/2008,1:39:26,75459,2.303,,,,,
79,11/26/2008,2:09:26,75449,2.303,,,,,
80,11/26/2008,2:39:26,75439,2.303,,,,,
81,11/26/2008,3:09:26,75459,2.303,,,,,
82,11/26/2008,3:39:26,75460,2.195,,,,,
83,11/26/2008,4:09:26,75450,2.195,,,,,
84,11/26/2008,4:39:26,75440,2.195,,,,,
85,11/26/2008,5:09:26,75430,2.195,,,,,
86,11/26/2008,5:39:26,75419,2.195,,,,,
87,11/26/2008,6:09:26,75430,2.195,,,,,
88,11/26/2008,6:39:26,75419,2.195,,,,,
